51.650012,5.048108
51.649423,5.047856
51.649601,5.047614
51.65051,5.048439
51.649892,5.046689
51.650891,5.047452
51.649575,5.046446
51.651221,5.047606
51.650514,5.046301
51.651437,5.048836
51.64964,5.045701
51.651166,5.046619
51.650222,5.045592
51.650661,5.045769
51.651776,5.048604
51.650513,5.045407
51.650258,5.04529
51.651909,5.047716
51.651563,5.046264
51.651899,5.046823
51.649677,5.044731
51.651831,5.046396
51.651261,5.045339
51.652279,5.047834
51.652508,5.048407
51.649339,5.04428
51.652393,5.046757
51.649716,5.043601
51.652929,5.047791
51.652867,5.046565
51.653293,5.049206
51.653389,5.047499
51.653186,5.045849
51.653485,5.046075
51.653372,5.04288
51.65404,5.040614
51.654967,5.039941
